Tech_rep,Temp,Replicate,Treatment,PopID,Date time start,Date time end,Total time (days),Total time (days),# at end,r,r2
2,20,1,20,20.1,3/30/2021 10:17,3/31/2021 13:55,1.15,7,26,1.14,1.14
2,20,2,20,20.2,3/30/2021 10:17,3/31/2021 14:00,1.15,7,34,1.37,1.37
2,20,3,20,20.3,3/30/2021 10:17,3/31/2021 14:02,1.16,7,28,1.2,1.2
2,20,4,20,20.4,3/30/2021 10:17,3/31/2021 13:59,1.15,7,26,1.14,1.14
2,20,5,36,36.1,3/30/2021 10:17,3/31/2021 14:03,1.16,7,17,0.77,0.77
2,20,6,36,36.6,3/30/2021 10:17,3/31/2021 14:06,1.16,7,17,0.77,0.77
2,20,7,36,36.7,3/30/2021 10:17,3/31/2021 14:06,1.16,7,13,0.53,0.53
2,26,1,20,20.1,3/30/2021 10:18,3/31/2021 11:38,1.06,7,53,1.92,1.92
2,26,2,20,20.2,3/30/2021 10:18,3/31/2021 11:43,1.06,7,56,1.96,1.96
2,26,3,20,20.3,3/30/2021 10:18,3/31/2021 11:43,1.06,7,47,1.8,1.8
2,26,4,20,20.4,3/30/2021 10:18,3/31/2021 11:49,1.06,7,54,1.92,1.92
2,26,5,36,36.1,3/30/2021 10:18,3/31/2021 11:53,1.07,7,30,1.37,1.37
2,26,6,36,36.6,3/30/2021 10:18,3/31/2021 11:59,1.07,7,21,1.03,1.03
2,26,7,36,36.7,3/30/2021 10:18,3/31/2021 11:52,1.07,7,22,1.07,1.07
2,28,1,20,20.1,3/30/2021 10:17,3/31/2021 12:04,1.07,7,85,2.32,2.32
2,28,2,20,20.2,3/30/2021 10:17,3/31/2021 12:10,1.08,7,86,2.33,2.33
2,28,3,20,20.3,3/30/2021 10:17,3/31/2021 12:13,1.08,7,58,1.96,1.96
2,28,4,20,20.4,3/30/2021 10:17,3/31/2021 12:20,1.09,7,79,2.23,2.23
2,28,5,36,36.1,3/30/2021 10:17,3/31/2021 12:07,1.08,7,40,1.62,1.62
2,28,6,36,36.6,3/30/2021 10:17,3/31/2021 12:23,1.09,7,17,0.82,0.82
2,28,7,36,36.7,3/30/2021 10:17,3/31/2021 12:19,1.08,7,30,1.34,1.34
2,30,1,20,20.1,3/30/2021 10:15,3/31/2021 12:31,1.09,7,106,2.48,2.48
2,30,2,20,20.2,3/30/2021 10:15,3/31/2021 12:33,1.1,7,115,2.55,2.55
2,30,3,20,20.3,3/30/2021 10:15,3/31/2021 12:40,1.1,7,106,2.47,2.47
2,30,4,20,20.4,3/30/2021 10:15,3/31/2021 12:41,1.1,7,121,2.59,2.59
2,30,6,36,36.6,3/30/2021 10:15,3/31/2021 13:06,1.12,7,24,1.1,1.1
2,30,7,36,36.7,3/30/2021 10:15,3/31/2021 13:11,1.12,7,35,1.43,1.43
2,32,1,20,20.1,3/30/2021 10:15,3/31/2021 12:50,1.11,7,134,2.67,2.67
2,32,2,20,20.2,3/30/2021 10:15,3/31/2021 12:53,1.11,7,221,3.11,3.11
2,32,3,20,20.3,3/30/2021 10:15,3/31/2021 13:02,1.12,7,175,2.88,2.88
2,32,4,20,20.4,3/30/2021 10:15,3/31/2021 13:07,1.12,7,182,2.91,2.91
2,32,5,36,36.1,3/30/2021 10:15,3/31/2021 13:19,1.13,7,86,2.22,2.22
2,32,6,36,36.6,3/30/2021 10:15,3/31/2021 13:15,1.13,7,27,1.2,1.2
2,32,7,36,36.7,3/30/2021 10:15,3/31/2021 13:20,1.13,7,47,1.69,1.69
2,36,1,20,20.1,3/30/2021 10:15,3/31/2021 14:50,1.19,7,72,1.96,1.96
2,36,2,20,20.2,3/30/2021 10:15,3/31/2021 14:12,1.16,7,85,2.14,2.14
2,36,3,20,20.3,3/30/2021 10:15,3/31/2021 14:17,1.17,7,62,1.87,1.87
2,36,4,20,20.4,3/30/2021 10:15,3/31/2021 14:18,1.17,7,68,1.95,1.95
2,36,5,36,36.1,3/30/2021 10:15,3/31/2021 14:21,1.17,7,17,0.76,0.76
2,36,6,36,36.6,3/30/2021 10:15,3/31/2021 14:25,1.17,7,11,0.39,0.39
2,36,7,36,36.7,3/30/2021 10:15,3/31/2021 14:21,1.17,7,20,0.9,0.9
2,39,1,20,20.1,3/30/2021 10:12,3/31/2021 11:23,1.05,7,4,-0.53,-0.53
2,39,2,20,20.2,3/30/2021 10:12,3/31/2021 11:26,1.05,7,5,-0.32,-0.32
2,39,3,20,20.3,3/30/2021 10:12,3/31/2021 11:30,1.05,7,4,-0.53,-0.53
2,39,4,20,20.4,3/30/2021 10:12,3/31/2021 11:33,1.06,7,5,-0.32,-0.32
2,39,5,36,36.1,3/30/2021 10:12,3/31/2021 11:15,1.04,7,5,-0.32,-0.32
2,39,6,36,36.6,3/30/2021 10:12,3/31/2021 11:26,1.05,7,0,#NUM!,
2,39,7,36,36.7,3/30/2021 10:12,3/31/2021 11:23,1.05,7,5,-0.32,-0.32
3,10,1,20,20.1,3/31/2021 12:00,4/1/2021 13:15,1.05,7,5,-0.32,-0.32
3,10,2,20,20.2,3/31/2021 12:00,4/1/2021 12:47,1.03,7,6,-0.15,-0.15
3,10,3,20,20.3,3/31/2021 12:00,4/1/2021 13:11,1.05,7,6,-0.15,-0.15
3,10,4,20,20.4,3/31/2021 12:00,4/1/2021 12:56,1.04,7,8,0.13,0.13
3,10,5,36,36.1,3/31/2021 12:00,4/1/2021 12:34,1.02,7,7,0,0
3,10,6,36,36.6,3/31/2021 12:00,4/1/2021 13:25,1.06,7,8,0.13,0.13
3,10,7,36,36.7,3/31/2021 12:00,4/1/2021 13:07,1.05,7,7,0,0
3,20,1,20,20.1,3/31/2021 11:55,4/1/2021 14:19,1.1,7,14,0.63,0.63
3,20,2,20,20.2,3/31/2021 11:55,4/1/2021 14:24,1.1,7,23,1.08,1.08
3,20,3,20,20.3,3/31/2021 11:55,4/1/2021 14:28,1.11,7,22,1.04,1.04
3,20,4,20,20.4,3/31/2021 11:55,4/1/2021 14:33,1.11,7,22,1.03,1.03
3,20,5,36,36.1,3/31/2021 11:55,4/1/2021 14:37,1.11,7,10,0.32,0.32
3,20,6,36,36.6,3/31/2021 11:55,4/1/2021 14:40,1.11,7,13,0.56,0.56
3,20,7,36,36.7,3/31/2021 11:55,4/1/2021 14:43,1.12,7,11,0.4,0.4
3,26,1,20,20.1,3/31/2021 11:55,4/1/2021 12:52,1.04,7,52,1.93,1.93
3,26,2,20,20.2,3/31/2021 11:55,4/1/2021 13:04,1.05,7,70,2.2,2.2
3,26,3,20,20.3,3/31/2021 11:55,4/1/2021 12:58,1.04,7,53,1.94,1.94
3,26,4,20,20.4,3/31/2021 11:55,4/1/2021 13:11,1.05,7,62,2.07,2.07
3,26,5,36,36.1,3/31/2021 11:55,4/1/2021 13:17,1.06,7,24,1.17,1.17
3,26,6,36,36.6,3/31/2021 11:55,4/1/2021 13:27,1.06,7,19,0.94,0.94
3,26,7,36,36.7,3/31/2021 11:55,4/1/2021 13:22,1.06,7,19,0.94,0.94
3,28,1,20,20.1,3/31/2021 12:00,4/1/2021 11:20,0.97,7,79,2.49,2.49
3,28,2,20,20.2,3/31/2021 12:00,4/1/2021 11:52,0.99,7,99,2.66,2.66
3,28,3,20,20.3,3/31/2021 12:00,4/1/2021 11:14,0.97,7,75,2.45,2.45
3,28,4,20,20.4,3/31/2021 12:00,4/1/2021 11:08,0.96,7,73,2.43,2.43
3,28,5,36,36.1,3/31/2021 12:00,4/1/2021 11:27,0.98,7,28,1.42,1.42
3,28,6,36,36.6,3/31/2021 12:00,4/1/2021 11:34,0.98,7,14,0.71,0.71
3,28,7,36,36.7,3/31/2021 12:00,4/1/2021 11:39,0.99,7,25,1.29,1.29
3,30,1,20,20.1,3/31/2021 12:00,4/1/2021 11:50,0.99,7,82,2.48,2.48
3,30,2,20,20.2,3/31/2021 12:00,4/1/2021 11:58,1,7,121,2.85,2.85
3,30,3,20,20.3,3/31/2021 12:00,4/1/2021 12:12,1.01,7,108,2.71,2.71
3,30,4,20,20.4,3/31/2021 12:00,4/1/2021 12:21,1.01,7,105,2.67,2.67
3,30,5,20,20.1,3/31/2021 12:00,4/1/2021 12:29,1.02,7,35,1.58,1.58
3,30,6,36,36.6,3/31/2021 12:00,4/1/2021 12:34,1.02,7,26,1.28,1.28
3,30,7,36,36.7,3/31/2021 12:00,4/1/2021 11:44,0.99,7,36,1.66,1.66
3,32,1,20,20.1,3/31/2021 12:00,4/1/2021 13:41,1.07,7,159,2.92,2.92
3,32,2,20,20.2,3/31/2021 12:00,4/1/2021 13:59,1.08,7,211,3.15,3.15
3,32,3,20,20.3,3/31/2021 12:00,4/1/2021 14:10,1.09,7,171,2.93,2.93
3,32,4,20,20.4,3/31/2021 12:00,4/1/2021 14:25,1.1,7,161,2.85,2.85
3,32,5,36,36.1,3/31/2021 12:00,4/1/2021 14:33,1.11,7,52,1.81,1.81
3,32,6,36,36.6,3/31/2021 12:00,4/1/2021 14:47,1.12,7,24,1.1,1.1
3,32,7,36,36.7,3/31/2021 12:00,4/1/2021 14:40,1.11,7,38,1.52,1.52
3,36,1,20,20.1,3/31/2021 11:55,4/1/2021 14:51,1.12,7,107,2.43,2.43
3,36,2,20,20.2,3/31/2021 11:55,4/1/2021 15:04,1.13,7,130,2.58,2.58
3,36,3,20,20.3,3/31/2021 11:55,4/1/2021 15:15,1.14,7,101,2.34,2.34
3,36,4,20,20.4,3/31/2021 11:55,4/1/2021 15:10,1.14,7,100,2.34,2.34
3,36,5,36,36.1,3/31/2021 11:55,4/1/2021 15:16,1.14,7,20,0.92,0.92
3,36,6,36,36.6,3/31/2021 11:55,4/1/2021 14:53,1.12,7,13,0.55,0.55
3,36,7,36,36.7,3/31/2021 11:55,4/1/2021 14:59,1.13,7,29,1.26,1.26
