Scenario,Home_Temp,Population,Exp_Temp,Rep,Date and Time In,Date and Time Out,Total Time (days),# Start,# End,r,Temp.rep1,Temp.rep2
Acute,36,6,10,3,1/27/2020 16:02,1/28/2020 9:29,0.73,7,7,0,36.6,36.6
Acute,36,6,10,4,1/27/2020 16:02,1/28/2020 9:31,0.73,7,7,0,36.6,36.6
Acute,36,6,10,5,1/27/2020 16:02,1/28/2020 9:33,0.73,7,6,-0.21,36.6,36.6
Acute,36,6,10,6,1/27/2020 16:02,1/28/2020 9:35,0.73,7,7,0,36.6,36.6
Acute,36,6,20,1,1/27/2020 16:04,1/28/2020 12:26,0.85,7,13,0.73,36.6,36.6
Acute,36,6,20,2,1/27/2020 16:04,1/28/2020 12:29,0.85,7,11,0.53,36.6,36.6
Acute,36,6,20,3,1/27/2020 16:04,1/28/2020 12:32,0.85,7,13,0.73,36.6,36.6
Acute,36,6,20,4,1/27/2020 16:04,1/28/2020 12:36,0.86,7,12,0.63,36.6,36.6
Acute,36,6,20,5,1/27/2020 16:04,1/28/2020 12:38,0.86,7,10,0.42,36.6,36.6
Acute,36,6,20,6,1/27/2020 16:04,1/28/2020 12:40,0.86,7,8,0.16,36.6,36.6
Acute,36,6,25,1,1/27/2020 16:16,1/28/2020 13:27,0.88,7,13,0.7,36.6,36.6
Acute,36,6,25,2,1/27/2020 16:16,1/28/2020 13:33,0.89,7,17,1,36.6,36.6
Acute,36,6,25,3,1/27/2020 16:16,1/28/2020 13:39,0.89,7,20,1.18,36.6,36.6
Acute,36,6,25,4,1/27/2020 16:16,1/28/2020 13:44,0.89,7,16,0.92,36.6,36.6
Acute,36,6,25,5,1/27/2020 16:16,1/28/2020 13:49,0.9,7,17,0.99,36.6,36.6
Acute,36,6,25,6,1/27/2020 16:16,1/28/2020 12:53,0.86,7,17,1.03,36.6,36.6
Acute,36,6,28,1,1/27/2020 16:00,1/28/2020 14:00,0.92,7,31,1.62,36.6,36.6
Acute,36,6,28,2,1/27/2020 16:00,1/28/2020 14:06,0.92,7,34,1.72,36.6,36.6
Acute,36,6,28,3,1/27/2020 16:00,1/28/2020 14:14,0.93,7,36,1.77,36.6,36.6
Acute,36,6,28,4,1/27/2020 16:00,1/28/2020 14:21,0.93,7,31,1.6,36.6,36.6
Acute,36,6,28,5,1/27/2020 16:00,1/28/2020 14:28,0.94,7,35,1.72,36.6,36.6
Acute,36,6,28,6,1/27/2020 16:00,1/28/2020 14:36,0.94,7,42,1.9,36.6,36.6
Acute,36,6,30,1,1/27/2020 16:21,1/28/2020 15:07,0.95,7,48,2.03,36.6,36.6
Acute,36,6,30,2,1/27/2020 16:21,1/28/2020 15:08,0.95,7,58,2.23,36.6,36.6
Acute,36,6,30,3,1/27/2020 16:21,1/28/2020 15:15,0.95,7,53,2.12,36.6,36.6
Acute,36,6,30,4,1/27/2020 16:21,1/28/2020 15:23,0.96,7,49,2.03,36.6,36.6
Acute,36,6,30,5,1/27/2020 16:21,1/28/2020 17:41,1.06,7,55,1.95,36.6,36.6
